item_original,nome,cor,status,cores_encontradas_no_site
CAMISA MARILDA - BLUES,CAMISA MARILDA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CAMISA MARILDA - BOSSA,CAMISA MARILDA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CAMISA MARILDA - JAZZ,CAMISA MARILDA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CALÇA MIRNA - VANILLA,CALÇA MIRNA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - PRETO,CALÇA MIRNA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - BLUES,CALÇA MIRNA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - BOSSA,CALÇA MIRNA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - JAZZ,CALÇA MIRNA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - VALSA,CALÇA MIRNA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA MIRNA - SAMBA,CALÇA MIRNA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUCILLE - VANILLA,TOP LUCILLE,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
TOP LUCILLE - PRETO,TOP LUCILLE,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
TOP LUCILLE - BLUES,TOP LUCILLE,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
TOP LUCILLE - BOSSA,TOP LUCILLE,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
TOP LUCILLE - JAZZ,TOP LUCILLE,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
BLUSA HELOISE - POA,BLUSA HELOISE,POA,DISPONIVEL,POA
CALÇA JOYCE - SAMBA,CALÇA JOYCE,SAMBA,DISPONIVEL,SAMBA
TOP JOYCE - VANILLA,TOP JOYCE,VANILLA,DISPONIVEL,"BOSSA, VANILLA"
TOP JOYCE - BOSSA,TOP JOYCE,BOSSA,DISPONIVEL,"BOSSA, VANILLA"
SHORT VIRGINIA - VANILLA/VALSA,SHORT VIRGINIA,VANILLA/VALSA,DISPONIVEL,VANILLA/VALSA
SHORT DINORA - MARINHO,SHORT DINORA,MARINHO,DISPONIVEL,MARINHO
JAQUETA FERNANDA - MARINHO,JAQUETA FERNANDA,MARINHO,DISPONIVEL,"MARINHO, MARITIMO"
TOP SIMONE - CARAMELO,TOP SIMONE,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
TOP SIMONE - JAZZ,TOP SIMONE,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
TOP SIMONE - VANILLA,TOP SIMONE,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT SAIA JULIANA - VANILLA,SHORT SAIA JULIANA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
SHORT SAIA JULIANA - PRETO,SHORT SAIA JULIANA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
SHORT SAIA JULIANA - BLUES,SHORT SAIA JULIANA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
SHORT SAIA JULIANA - BOSSA,SHORT SAIA JULIANA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
SHORT SAIA JULIANA - JAZZ,SHORT SAIA JULIANA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
CALÇA RENATA - VANILLA,CALÇA RENATA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA RENATA - CARAMELO,CALÇA RENATA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA RENATA - JAZZ,CALÇA RENATA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SAIA ANGELICA - PRETO,SAIA ANGELICA,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
SAIA ANGELICA - BLUES,SAIA ANGELICA,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
SAIA ANGELICA - JAZZ,SAIA ANGELICA,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
CALÇA JULIENE - VANILLA,CALÇA JULIENE,VANILLA,DISPONIVEL,"PRETO, VANILLA"
CALÇA JULIENE - PRETO,CALÇA JULIENE,PRETO,DISPONIVEL,"PRETO, VANILLA"
CALÇA TINA - VANILLA,CALÇA TINA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - PRETO,CALÇA TINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - BLUES,CALÇA TINA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - BOSSA,CALÇA TINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - JAZZ,CALÇA TINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - VALSA,CALÇA TINA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TINA - SAMBA,CALÇA TINA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO LARA - SAMBA,VESTIDO LARA,SAMBA,COR_NAO_ENCONTRADA,PRETO
TOP FATIMA - VANILLA,TOP FATIMA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - PRETO,TOP FATIMA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - BLUES,TOP FATIMA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - BOSSA,TOP FATIMA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - JAZZ,TOP FATIMA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - VALSA,TOP FATIMA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP FATIMA - SAMBA,TOP FATIMA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - VANILLA,MACACÃO LAYLA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - PRETO,MACACÃO LAYLA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - BLUES,MACACÃO LAYLA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - BOSSA,MACACÃO LAYLA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - JAZZ,MACACÃO LAYLA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - VALSA,MACACÃO LAYLA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO LAYLA - SAMBA,MACACÃO LAYLA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO BRENDA - BOSSA,VESTIDO BRENDA,BOSSA,DISPONIVEL,BOSSA
BLAZER ISADORA - VANILLA,BLAZER ISADORA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - PRETO,BLAZER ISADORA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - BLUES,BLAZER ISADORA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - BOSSA,BLAZER ISADORA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - JAZZ,BLAZER ISADORA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - VALSA,BLAZER ISADORA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER ISADORA - SAMBA,BLAZER ISADORA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - VANILLA,SHORT SAIA ISADORA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - PRETO,SHORT SAIA ISADORA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - BLUES,SHORT SAIA ISADORA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - BOSSA,SHORT SAIA ISADORA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - JAZZ,SHORT SAIA ISADORA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - VALSA,SHORT SAIA ISADORA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SAIA ISADORA - SAMBA,SHORT SAIA ISADORA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO ALICE - VALSA,MACACÃO ALICE,VALSA,DISPONIVEL,VALSA
SHORT SAIA MAITE - GRAFITE,SHORT SAIA MAITE,GRAFITE,DISPONIVEL,GRAFITE
SHORT SAIA ALICE - VALSA,SHORT SAIA ALICE,VALSA,DISPONIVEL,VALSA
SHORT DINA - VALSA,SHORT DINA,VALSA,DISPONIVEL,VALSA
CALÇA DINA - VALSA,CALÇA DINA,VALSA,DISPONIVEL,VALSA
BLAZER MARIANE - GRAFITE,BLAZER MARIANE,GRAFITE,DISPONIVEL,GRAFITE
BLAZER DINA - VALSA,BLAZER DINA,VALSA,DISPONIVEL,VALSA
BODY LARA - SAMBA,BODY LARA,SAMBA,DISPONIVEL,SAMBA
CALÇA ANALU - GRAFITE,CALÇA ANALU,GRAFITE,DISPONIVEL,GRAFITE
CALÇA NATALIA - SAMBA,CALÇA NATALIA,SAMBA,DISPONIVEL,SAMBA
SAIA MARISA - PRETO,SAIA MARISA,PRETO,DISPONIVEL,"PRETO, VANILLA"
SAIA MARISA - VANILLA,SAIA MARISA,VANILLA,DISPONIVEL,"PRETO, VANILLA"
SAIA LIANA - PRETO,SAIA LIANA,PRETO,DISPONIVEL,"PRETO, VANILLA"
SAIA LIANA - VANILLA,SAIA LIANA,VANILLA,DISPONIVEL,"PRETO, VANILLA"
CALÇA MARISA - PRETO,CALÇA MARISA,PRETO,DISPONIVEL,"PRETO, VANILLA"
CALÇA MARISA - VANILLA,CALÇA MARISA,VANILLA,DISPONIVEL,"PRETO, VANILLA"
SAIA ANDREZA - SAMBA,SAIA ANDREZA,SAMBA,DISPONIVEL,SAMBA
TOP ALICIA - VALSA,TOP ALICIA,VALSA,DISPONIVEL,VALSA
BLUSA SORAIA - POA,BLUSA SORAIA,POA,DISPONIVEL,POA
JAQUETA JESSICA - PRETO,JAQUETA JESSICA,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
JAQUETA JESSICA - VALSA,JAQUETA JESSICA,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
JAQUETA JESSICA - JAZZ,JAQUETA JESSICA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
JAQUETA JESSICA - CARAMELO,JAQUETA JESSICA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA IARA - PRETO,CALÇA IARA,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA IARA - VALSA,CALÇA IARA,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA IARA - JAZZ,CALÇA IARA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA IARA - CARAMELO,CALÇA IARA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA ANALIS - CARAMELO,CALÇA ANALIS,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA ANALIS - JAZZ,CALÇA ANALIS,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA ANALIS - PRETO,CALÇA ANALIS,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA ANALIS - VALSA,CALÇA ANALIS,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
SHORT AMANDA - VALSA,SHORT AMANDA,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
SHORT AMANDA - PRETO,SHORT AMANDA,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
SHORT AMANDA - JAZZ,SHORT AMANDA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
SHORT AMANDA - CARAMELO,SHORT AMANDA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP GRAZI - PRETO,TOP GRAZI,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP GRAZI - VALSA,TOP GRAZI,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP GRAZI - JAZZ,TOP GRAZI,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP GRAZI - CARAMELO,TOP GRAZI,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP ANALIS - PRETO,TOP ANALIS,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP ANALIS - VALSA,TOP ANALIS,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP ANALIS - JAZZ,TOP ANALIS,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
TOP ANALIS - CARAMELO,TOP ANALIS,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
COLETE ANALICE - GRAFITE,COLETE ANALICE,GRAFITE,DISPONIVEL,"ARTICO 27, GRAFITE"
SHORT MERCES - SAMBA,SHORT MERCES,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT MERCES - BLUES,SHORT MERCES,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT MERCES - BOSSA,SHORT MERCES,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT MERCES - JAZZ,SHORT MERCES,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT MERCES - VANILLA,SHORT MERCES,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT MERCES - MARINHO,SHORT MERCES,MARINHO,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, SAMBA, VANILLA"
SHORT SAIA ANALICE - GRAFITE,SHORT SAIA ANALICE,GRAFITE,DISPONIVEL,GRAFITE
VESTIDO SERENA - SAMBA,VESTIDO SERENA,SAMBA,DISPONIVEL,SAMBA
CALÇA AVA - SAMBA,CALÇA AVA,SAMBA,DISPONIVEL,"PRETO, SAMBA"
MACACÃO MIRA - VANILLA,MACACÃO MIRA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
MACACÃO MIRA - CARAMELO,MACACÃO MIRA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
MACACÃO MIRA - JAZZ,MACACÃO MIRA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
VESTIDO JOYCE - SAMBA,VESTIDO JOYCE,SAMBA,DISPONIVEL,SAMBA
VESTIDO SOLANGE - POA,VESTIDO SOLANGE,POA,DISPONIVEL,POA
VESTIDO JANAINA - SAMBA,VESTIDO JANAINA,SAMBA,DISPONIVEL,SAMBA
VESTIDO ISABEL - SAMBA,VESTIDO ISABEL,SAMBA,DISPONIVEL,"BEGE, SAMBA"
CALÇA SUZETE - JEANS CLARO,CALÇA SUZETE,JEANS CLARO,DISPONIVEL,"JEANS CLARO, JEANS MEDIO, PRETO"
CALÇA SUZETE - JEANS MEDIO,CALÇA SUZETE,JEANS MEDIO,DISPONIVEL,"JEANS CLARO, JEANS MEDIO, PRETO"
CALÇA SUZETE - PRETO,CALÇA SUZETE,PRETO,DISPONIVEL,"JEANS CLARO, JEANS MEDIO, PRETO"
CALÇA MICAELA - JEANS CLARO,CALÇA MICAELA,JEANS CLARO,DISPONIVEL,JEANS CLARO
JAQUETA ALEXIS - JEANS CLARO,JAQUETA ALEXIS,JEANS CLARO,DISPONIVEL,JEANS CLARO
CALÇA EMMA - JEANS CLARO,CALÇA EMMA,JEANS CLARO,PRODUTO_NAO_ENCONTRADO,
CALÇA NORA - JEANS ESCURO,CALÇA NORA,JEANS ESCURO,DISPONIVEL,JEANS ESCURO
CAMISA BRIANA - JEANS ESCURO,CAMISA BRIANA,JEANS ESCURO,DISPONIVEL,JEANS ESCURO
TOP ANDREZA - SAMBA,TOP ANDREZA,SAMBA,DISPONIVEL,SAMBA
VESTIDO PRISCILA - SAMBA,VESTIDO PRISCILA,SAMBA,DISPONIVEL,SAMBA
VESTIDO ALANA - SAMBA,VESTIDO ALANA,SAMBA,DISPONIVEL,SAMBA
TOP LIANA - VANILLA,TOP LIANA,VANILLA,DISPONIVEL,"PRETO, VANILLA"
TOP LIANA - PRETO,TOP LIANA,PRETO,DISPONIVEL,"PRETO, VANILLA"
CALÇA RUBIA - VANILLA,CALÇA RUBIA,VANILLA,DISPONIVEL,"BOSSA, VANILLA"
CALÇA RUBIA - BOSSA,CALÇA RUBIA,BOSSA,DISPONIVEL,"BOSSA, VANILLA"
JAQUETA LAWRENCE - PRETO,JAQUETA LAWRENCE,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO"
JAQUETA LAWRENCE - JAZZ,JAQUETA LAWRENCE,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO"
JAQUETA LAWRENCE - CARAMELO,JAQUETA LAWRENCE,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO"
SAIA NAIKA - JAZZ,SAIA NAIKA,JAZZ,DISPONIVEL,JAZZ
SAIA IVONE - PRETO,SAIA IVONE,PRETO,DISPONIVEL,PRETO
VESTIDO HELOISA - POÁ,VESTIDO HELOISA,POÁ,PRODUTO_NAO_ENCONTRADO,
CASACO ALANA - JAZZ,CASACO ALANA,JAZZ,DISPONIVEL,JAZZ
SAIA SIMONE - PRETO,SAIA SIMONE,PRETO,PRODUTO_NAO_ENCONTRADO,
CALÇA AMY - JAZZ,CALÇA AMY,JAZZ,DISPONIVEL,JAZZ
SAIA LUDMILA - BLUES,SAIA LUDMILA,BLUES,DISPONIVEL,BLUES
CALÇA NAIKA - JAZZ,CALÇA NAIKA,JAZZ,DISPONIVEL,JAZZ
CAMISA ELIS - NUDE,CAMISA ELIS,NUDE,DISPONIVEL,NUDE
VESTIDO GAL - NUDE,VESTIDO GAL,NUDE,DISPONIVEL,NUDE
TOP ELANA - Preto,TOP ELANA,PRETO,PRODUTO_NAO_ENCONTRADO,
SHORT SAIA LISA -,SHORT SAIA LISA -,,PRODUTO_NAO_ENCONTRADO,
SHORT JANE - Preto,SHORT JANE,PRETO,PRODUTO_NAO_ENCONTRADO,
TOP MIRA - Preto,TOP MIRA,PRETO,PRODUTO_NAO_ENCONTRADO,
CALÇA ANDREA -,CALÇA ANDREA -,,PRODUTO_NAO_ENCONTRADO,
VESTIDO MARINA -,VESTIDO MARINA -,,PRODUTO_NAO_ENCONTRADO,
VESTIDO LIZIE - Preto,VESTIDO LIZIE,PRETO,PRODUTO_NAO_ENCONTRADO,
VESTIDO ADRIANE -,VESTIDO ADRIANE -,,PRODUTO_NAO_ENCONTRADO,
